createdAt;culture;doneMissionCount;farmName;harvest;idBusinessUnit;lateMissionCount;pendingMissionCount;pestCount;photoProgrammedAt;plotName;primaryPest;requestGPS;trapCode;trapId;trapInfestationLevel;trapStatus;trapType;trapBatteryStatus
2025-12-03T11:49:21.839Z;Milho;0;-;2025/2026;53560;0;0;35.0;07:00:00;-;Lagarta Spodoptera;FALSE;FARMLAB2;1135069;DAMAGE;ACTIVE;CONVENTIONAL;nan
2025-12-01T12:39:10.338Z;Milho;0;-;2025/2026;53560;0;0;;07:00:00;-;Cigarrinha;FALSE;CIGARRINHA8164;1135065;-;INACTIVE;CONVENTIONAL;nan
2026-02-08T10:04:04.171Z;Milho;0;-;2025/2026;53560;0;0;0.0;07:00:00;-;Lagarta Spodoptera;TRUE;3,5721E+14;248162;LOW;ACTIVE;ELECTRONIC;IDEAL
2025-11-26T11:16:48.877Z;Milho;9;-;2025/2026;53560;0;0;121.0;07:00:00;-;Cigarrinha;FALSE;CIGARRINHA4;1135054;DAMAGE;ACTIVE;CONVENTIONAL;nan
2025-12-01T12:40:44.033Z;Milho;0;-;2025/2026;53560;0;0;125.0;07:00:00;-;Cigarrinha;FALSE;CIGARRINHA1654;1135066;DAMAGE;INACTIVE;CONVENTIONAL;nan
2025-11-26T11:18:44.467Z;Milho;7;-;2025/2026;53560;0;0;126.0;07:00:00;-;Cigarrinha;FALSE;CIGARRINHA1;1135055;DAMAGE;ACTIVE;CONVENTIONAL;nan
2026-02-08T18:03:27.080Z;Milho;0;-;2025/2026;53560;0;0;3.0;07:00:00;-;Lagarta Spodoptera;TRUE;3,5721E+14;1135070;ALERT;ACTIVE;ELECTRONIC;IDEAL
2025-11-28T14:14:59.885Z;Milho;9;-;2025/2026;53560;0;0;99.0;07:00:00;-;Cigarrinha;FALSE;CIGARRINHA2;1135064;DAMAGE;ACTIVE;CONVENTIONAL;nan
2025-12-03T13:09:00.470Z;Milho;0;-;2025/2026;53560;0;0;;07:00:00;-;Lagarta Spodoptera;TRUE;3,5721E+14;1135076;-;INACTIVE;ELECTRONIC;nan
2025-11-28T12:15:44.432Z;Milho;10;-;2025/2026;53560;2;0;95.0;07:00:00;-;Cigarrinha;FALSE;CIGARRINHA2554;1135058;DAMAGE;ACTIVE;CONVENTIONAL;nan
2025-12-03T12:38:42.967Z;Milho;0;-;2025/2026;53560;0;0;;07:00:00;-;Cigarrinha;FALSE;CIGARRINHA8164;1135071;-;INACTIVE;CONVENTIONAL;nan
2026-02-08T18:03:27.080Z;Milho;0;-;2025/2026;53560;2;0;3.0;07:00:00;-;Lagarta Spodoptera;TRUE;3,5721E+14;1135075;ALERT;ACTIVE;ELECTRONIC;IDEAL
2026-02-08T18:57:59.901Z;Milho;0;-;2025/2026;53560;0;0;0.0;07:00:00;-;Lagarta Spodoptera;TRUE;3,5721E+14;248160;LOW;ACTIVE;ELECTRONIC;IDEAL
2025-12-03T12:45:29.056Z;Milho;6;-;2025/2026;53560;6;0;125.0;07:00:00;-;Cigarrinha;FALSE;CIGARRINHA1654;1135073;DAMAGE;ACTIVE;CONVENTIONAL;nan
2025-11-28T13:37:16.988Z;Milho;0;-;2025/2026;53560;0;0;;07:00:00;-;Cigarrinha;FALSE;3,5721E+14;1135060;-;INACTIVE;CONVENTIONAL;nan
2025-11-26T11:02:32.671Z;Milho;5;-;2025/2026;53560;0;0;17.0;07:00:00;-;Lagarta Spodoptera;FALSE;FARMLAB1;1135051;DAMAGE;ACTIVE;CONVENTIONAL;nan
2025-11-26T11:16:19.771Z;Milho;5;-;2025/2026;53560;0;0;8.0;07:00:00;-;Lagarta Spodoptera;FALSE;FARMLAB4;1135053;DAMAGE;ACTIVE;CONVENTIONAL;nan
2025-12-03T11:49:21.351Z;Milho;4;-;2025/2026;53560;0;0;35.0;07:00:00;-;Lagarta Spodoptera;FALSE;FARMLAB2;1135068;DAMAGE;ACTIVE;CONVENTIONAL;nan
2025-11-26T11:21:47.897Z;Milho;4;-;2025/2026;53560;0;0;3.0;07:00:00;-;Lagarta Spodoptera;FALSE;FARMLAB3;1135056;ALERT;ACTIVE;CONVENTIONAL;nan
2025-11-26T11:22:07.979Z;Milho;6;-;2025/2026;53560;0;0;73.0;07:00:00;-;Cigarrinha;FALSE;CIGARRINHA3;1135057;DAMAGE;ACTIVE;CONVENTIONAL;nan
2025-08-22T10:40:02.060Z;Milho;0;-;2025/2026;53560;0;0;;07:00:00;-;Lagarta Spodoptera;TRUE;3,5721E+14;248159;-;INACTIVE;ELECTRONIC;nan
2025-11-28T12:45:56.598Z;Milho;8;-;2025/2026;53560;1;0;141.0;07:00:00;-;Cigarrinha;FALSE;CIGARRINHA0749;1135059;DAMAGE;ACTIVE;CONVENTIONAL;nan
2026-02-08T18:03:27.080Z;Milho;0;-;2025/2026;53560;0;0;3.0;07:00:00;-;Lagarta Spodoptera;TRUE;3,5721E+14;248161;ALERT;INACTIVE;ELECTRONIC;IDEAL
2025-12-03T12:44:57.400Z;Milho;0;-;2025/2026;53560;0;0;;07:00:00;-;Lagarta Spodoptera;FALSE;3,5721E+14;1135072;-;INACTIVE;ELECTRONIC;nan
2025-12-03T11:49:21.839Z;Milho;0;-;2025/2026;53560;0;0;1.0;07:00:00;-;Lagarta Spodoptera;FALSE;FARMLAB2;1135069;LOW;ACTIVE;CONVENTIONAL;nan
2025-12-01T12:39:10.338Z;Milho;0;-;2025/2026;53560;0;0;;07:00:00;-;Cigarrinha;FALSE;CIGARRINHA8164;1135065;-;INACTIVE;CONVENTIONAL;nan
2026-02-22T10:04:04.783Z;Milho;0;-;2025/2026;53560;0;0;0.0;07:00:00;-;Lagarta Spodoptera;TRUE;3,5721E+14;248162;LOW;ACTIVE;ELECTRONIC;IDEAL
2025-11-26T11:16:48.877Z;Milho;1;-;2025/2026;53560;0;0;68.0;07:00:00;-;Cigarrinha;FALSE;CIGARRINHA4;1135054;DAMAGE;ACTIVE;CONVENTIONAL;nan
2025-12-01T12:40:44.033Z;Milho;0;-;2025/2026;53560;0;0;32.0;07:00:00;-;Cigarrinha;FALSE;CIGARRINHA1654;1135066;DAMAGE;INACTIVE;CONVENTIONAL;nan
2025-11-26T11:18:44.467Z;Milho;2;-;2025/2026;53560;1;0;3.0;07:00:00;-;Cigarrinha;FALSE;CIGARRINHA1;1135055;LOW;ACTIVE;CONVENTIONAL;nan
2026-02-22T18:03:26.782Z;Milho;0;-;2025/2026;53560;2;0;0.0;07:00:00;-;Lagarta Spodoptera;TRUE;3,5721E+14;1135070;LOW;ACTIVE;ELECTRONIC;IDEAL
2025-11-28T14:14:59.885Z;Milho;2;-;2025/2026;53560;0;0;51.0;07:00:00;-;Cigarrinha;FALSE;CIGARRINHA2;1135064;DAMAGE;ACTIVE;CONVENTIONAL;nan
2025-12-03T13:09:00.470Z;Milho;0;-;2025/2026;53560;0;0;;07:00:00;-;Lagarta Spodoptera;TRUE;3,5721E+14;1135076;-;INACTIVE;ELECTRONIC;nan
2025-11-28T12:15:44.432Z;Milho;1;-;2025/2026;53560;0;0;41.0;07:00:00;-;Cigarrinha;FALSE;CIGARRINHA2554;1135058;DAMAGE;ACTIVE;CONVENTIONAL;nan
2025-12-03T12:38:42.967Z;Milho;0;-;2025/2026;53560;0;0;;07:00:00;-;Cigarrinha;FALSE;CIGARRINHA8164;1135071;-;INACTIVE;CONVENTIONAL;nan
2026-02-22T18:03:26.782Z;Milho;0;-;2025/2026;53560;2;0;0.0;07:00:00;-;Lagarta Spodoptera;TRUE;3,5721E+14;1135075;LOW;ACTIVE;ELECTRONIC;IDEAL
2026-02-22T18:58:00.710Z;Milho;0;-;2025/2026;53560;0;0;0.0;07:00:00;-;Lagarta Spodoptera;TRUE;3,5721E+14;248160;LOW;ACTIVE;ELECTRONIC;IDEAL
2025-12-03T12:45:29.056Z;Milho;2;-;2025/2026;53560;0;0;32.0;07:00:00;-;Cigarrinha;FALSE;CIGARRINHA1654;1135073;DAMAGE;ACTIVE;CONVENTIONAL;nan
2025-11-28T13:37:16.988Z;Milho;0;-;2025/2026;53560;0;0;;07:00:00;-;Cigarrinha;FALSE;3,5721E+14;1135060;-;INACTIVE;CONVENTIONAL;nan
2025-11-26T11:02:32.671Z;Milho;2;-;2025/2026;53560;0;0;4.0;07:00:00;-;Lagarta Spodoptera;FALSE;FARMLAB1;1135051;CONTROL;ACTIVE;CONVENTIONAL;nan
2025-11-26T11:16:19.771Z;Milho;2;-;2025/2026;53560;2;0;6.0;07:00:00;-;Lagarta Spodoptera;FALSE;FARMLAB4;1135053;DAMAGE;ACTIVE;CONVENTIONAL;nan
2025-12-03T11:49:21.351Z;Milho;1;-;2025/2026;53560;5;0;1.0;07:00:00;-;Lagarta Spodoptera;FALSE;FARMLAB2;1135068;LOW;ACTIVE;CONVENTIONAL;nan
2025-11-26T11:21:47.897Z;Milho;3;-;2025/2026;53560;1;0;2.0;07:00:00;-;Lagarta Spodoptera;FALSE;FARMLAB3;1135056;ALERT;ACTIVE;CONVENTIONAL;nan
2025-11-26T11:22:07.979Z;Milho;6;-;2025/2026;53560;0;0;55.0;07:00:00;-;Cigarrinha;FALSE;CIGARRINHA3;1135057;DAMAGE;ACTIVE;CONVENTIONAL;nan
2025-08-22T10:40:02.060Z;Milho;0;-;2025/2026;53560;0;0;;07:00:00;-;Lagarta Spodoptera;TRUE;3,5721E+14;248159;-;INACTIVE;ELECTRONIC;nan
2025-11-28T12:45:56.598Z;Milho;3;-;2025/2026;53560;0;0;54.0;07:00:00;-;Cigarrinha;FALSE;CIGARRINHA0749;1135059;DAMAGE;ACTIVE;CONVENTIONAL;nan
2026-02-22T18:03:26.782Z;Milho;0;-;2025/2026;53560;0;0;0.0;07:00:00;-;Lagarta Spodoptera;TRUE;3,5721E+14;248161;LOW;INACTIVE;ELECTRONIC;IDEAL
2025-12-03T12:44:57.400Z;Milho;0;-;2025/2026;53560;0;0;;07:00:00;-;Lagarta Spodoptera;FALSE;3,5721E+14;1135072;-;INACTIVE;ELECTRONIC;nan
2025-12-03T11:49:21.839Z;Milho;0;-;2025/2026;53560;0;0;0.0;07:00:00;-;Lagarta Spodoptera;FALSE;FARMLAB2;1135069;LOW;ACTIVE;CONVENTIONAL;nan
2025-12-01T12:39:10.338Z;Milho;0;-;2025/2026;53560;0;0;;07:00:00;-;Cigarrinha;FALSE;CIGARRINHA8164;1135065;-;INACTIVE;CONVENTIONAL;nan
2026-02-25T13:33:58.503Z;Milho;0;-;2025/2026;53560;0;0;0.0;07:00:00;-;Lagarta Spodoptera;TRUE;3,5721E+14;248162;LOW;ACTIVE;ELECTRONIC;IDEAL
2025-11-26T11:16:48.877Z;Milho;0;-;2025/2026;53560;0;0;;07:00:00;-;Cigarrinha;FALSE;CIGARRINHA4;1135054;-;ACTIVE;CONVENTIONAL;nan
2025-12-01T12:40:44.033Z;Milho;0;-;2025/2026;53560;0;0;12.0;07:00:00;-;Cigarrinha;FALSE;CIGARRINHA1654;1135066;LOW;INACTIVE;CONVENTIONAL;nan
2025-11-26T11:18:44.467Z;Milho;0;-;2025/2026;53560;0;0;;07:00:00;-;Cigarrinha;FALSE;CIGARRINHA1;1135055;-;ACTIVE;CONVENTIONAL;nan
2026-02-25T18:50:57.390Z;Milho;0;-;2025/2026;53560;0;0;0.0;07:00:00;-;Lagarta Spodoptera;TRUE;3,5721E+14;1135070;LOW;ACTIVE;ELECTRONIC;IDEAL
2025-11-28T14:14:59.885Z;Milho;1;-;2025/2026;53560;0;0;32.0;07:00:00;-;Cigarrinha;FALSE;CIGARRINHA2;1135064;DAMAGE;ACTIVE;CONVENTIONAL;nan
2025-12-03T13:09:00.470Z;Milho;0;-;2025/2026;53560;0;0;;07:00:00;-;Lagarta Spodoptera;TRUE;3,5721E+14;1135076;-;INACTIVE;ELECTRONIC;nan
2025-11-28T12:15:44.432Z;Milho;0;-;2025/2026;53560;0;0;;07:00:00;-;Cigarrinha;FALSE;CIGARRINHA2554;1135058;-;ACTIVE;CONVENTIONAL;nan
2025-12-03T12:38:42.967Z;Milho;0;-;2025/2026;53560;0;0;;07:00:00;-;Cigarrinha;FALSE;CIGARRINHA8164;1135071;-;INACTIVE;CONVENTIONAL;nan
2026-02-25T18:50:57.390Z;Milho;0;-;2025/2026;53560;1;0;0.0;07:00:00;-;Lagarta Spodoptera;TRUE;3,5721E+14;1135075;LOW;ACTIVE;ELECTRONIC;IDEAL
2026-02-25T18:58:02.791Z;Milho;0;-;2025/2026;53560;0;0;0.0;07:00:00;-;Lagarta Spodoptera;TRUE;3,5721E+14;248160;LOW;ACTIVE;ELECTRONIC;IDEAL
2025-12-03T12:45:29.056Z;Milho;0;-;2025/2026;53560;0;0;12.0;07:00:00;-;Cigarrinha;FALSE;CIGARRINHA1654;1135073;LOW;ACTIVE;CONVENTIONAL;nan
2025-11-28T13:37:16.988Z;Milho;0;-;2025/2026;53560;0;0;;07:00:00;-;Cigarrinha;FALSE;3,5721E+14;1135060;-;INACTIVE;CONVENTIONAL;nan
2025-11-26T11:02:32.671Z;Milho;0;-;2025/2026;53560;0;0;;07:00:00;-;Lagarta Spodoptera;FALSE;FARMLAB1;1135051;-;ACTIVE;CONVENTIONAL;nan
2025-11-26T11:16:19.771Z;Milho;0;-;2025/2026;53560;0;0;;07:00:00;-;Lagarta Spodoptera;FALSE;FARMLAB4;1135053;-;ACTIVE;CONVENTIONAL;nan
2025-12-03T11:49:21.351Z;Milho;1;-;2025/2026;53560;0;0;0.0;07:00:00;-;Lagarta Spodoptera;FALSE;FARMLAB2;1135068;LOW;ACTIVE;CONVENTIONAL;nan
2025-11-26T11:21:47.897Z;Milho;1;-;2025/2026;53560;0;0;0.0;07:00:00;-;Lagarta Spodoptera;FALSE;FARMLAB3;1135056;LOW;ACTIVE;CONVENTIONAL;nan
2025-11-26T11:22:07.979Z;Milho;1;-;2025/2026;53560;0;0;26.0;07:00:00;-;Cigarrinha;FALSE;CIGARRINHA3;1135057;CONTROL;ACTIVE;CONVENTIONAL;nan
2025-08-22T10:40:02.060Z;Milho;0;-;2025/2026;53560;0;0;;07:00:00;-;Lagarta Spodoptera;TRUE;3,5721E+14;248159;-;INACTIVE;ELECTRONIC;nan
2025-11-28T12:45:56.598Z;Milho;0;-;2025/2026;53560;0;0;;07:00:00;-;Cigarrinha;FALSE;CIGARRINHA0749;1135059;-;ACTIVE;CONVENTIONAL;nan
2026-02-25T18:50:57.390Z;Milho;0;-;2025/2026;53560;0;0;0.0;07:00:00;-;Lagarta Spodoptera;TRUE;3,5721E+14;248161;LOW;INACTIVE;ELECTRONIC;IDEAL
2025-12-03T12:44:57.400Z;Milho;0;-;2025/2026;53560;0;0;;07:00:00;-;Lagarta Spodoptera;FALSE;3,5721E+14;1135072;-;INACTIVE;ELECTRONIC;nan
